,State,2019_Marriages,2018_Marriages,2017_Marriages,2016_Marriages,2015_Marriages,2014_Marriages,2013_Marriages,2012_Marriages,2011_Marriages,2010_Marriages,2009_Marriages,2008_Marriages,2007_Divorces,2006_Marriages,2005_Marriages,2004_Marriages,2003_Divorces,2002_Marriages,2001_Marriages,2000_Marriages,1999_Marriages,1995_Marriages,1990_Marriages,2019_Divorces,2018_Divorces,2017_Divorces,2016_Divorces,2015_Divorces,2014_Divorces,2013_Divorces,2012_Divorces,2011_Divorces,2010_Divorces,2009_Divorces,2008_Divorces,2007_y,2006_Divorces,2005_Divorces,2004_Divorces,2003_y,2002_Divorces,2001_Divorces,2000_Divorces,1999_Divorces,1995_Divorces,1990_Divorces
19,Maryland,5.6,5.9,6.3,6.3,6.2,6.5,6.8,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7.0,7.5,7.5,8.4,9.7,2.7,2.4,2.5,2.7,2.6,2.5,2.5,2.8,2.9,2.8,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.4,3.0,3.3,3.2,3.0,3.4
20,Massachusetts,5.0,6.3,5.7,5.8,5.5,5.6,5.5,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9,1.5,2.1,2.2,2.3,2.6,2.7,2.6,2.7,2.7,2.5,2.2,2.0,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5,2.5,2.2,2.8
21,Michigan,5.2,5.7,5.9,5.9,6.0,5.8,5.8,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2,2.3,2.8,2.8,2.9,3.0,3.0,3.3,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9,3.8,4.1,4.3
22,Minnesota,5.1,5.3,5.6,5.6,5.6,5.9,6.0,5.6,5.6,5.3,5.3,5.4,5.8,6.0,6.0,6.0,6.3,6.5,6.6,6.8,6.8,7.0,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.8,3.0,3.1,3.2,3.2,3.2,3.4,3.5
23,Mississippi,6.0,6.3,6.7,7.0,7.0,6.9,6.7,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,7.9,9.4,2.6,2.7,2.9,3.2,3.4,3.4,3.6,4.0,4.0,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5.0,5.0,5.0,4.8,5.5
24,Missouri,6.0,6.5,6.6,6.9,6.8,6.7,6.4,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7.0,7.1,7.2,7.3,7.5,7.8,8.1,8.3,9.6,2.9,3.0,3.1,3.3,3.2,3.3,3.4,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4.0,4.2,4.5,4.4,5.0,5.1
25,Montana,7.9,7.7,8.0,7.8,8.0,7.9,7.4,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,7.6,8.6,3.0,3.0,3.1,3.1,3.4,3.4,3.4,3.9,4.0,3.9,4.0,4.1,4.0,4.4,4.5,3.8,3.9,4.0,4.2,4.2,2.8,4.8,5.1
26,Nebraska,5.5,6.0,6.3,6.5,6.4,6.4,6.3,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7.0,7.1,7.0,7.5,7.9,7.6,7.5,7.3,8.0,2.7,2.9,3.0,3.1,3.2,3.1,3.3,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7,3.7,3.8,4.0
27,Nevada,25.9,26.7,28.6,28.4,31.0,31.9,32.3,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,85.2,99.0,4.2,4.4,4.5,4.3,4.6,5.3,5.1,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9,7.8,7.8,11.4
28,New Hampshire,6.6,6.9,7.0,7.0,6.9,7.2,6.9,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8.0,8.1,8.3,8.5,9.4,7.9,8.3,9.5,3.1,3.1,3.1,3.4,3.3,3.5,3.7,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4.0,4.1,4.3,4.4,4.8,5.1,4.2,4.7
29,New Jersey,5.2,5.4,5.5,5.7,5.6,5.4,5.1,4.9,4.8,5.1,5.0,5.4,5.4,5.5,5.7,5.9,5.8,6.0,6.4,6.0,5.9,6.5,7.6,2.5,2.7,2.6,2.7,2.8,2.8,2.8,2.8,2.9,3.0,2.7,3.0,3.0,3.0,2.9,3.0,3.2,3.4,3.4,3.0,3.0,3.0,3.0
30,New Mexico,6.0,6.4,5.9,6.4,6.2,8.1,7.3,6.9,8.0,7.7,5.0,4.0,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8.0,8.0,8.8,8.8,NULL,NULL,NULL,NULL,3.3,3.6,3.4,3.0,3.3,4.0,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,6.6,4.9
31,New York,7.2,7.1,7.3,7.5,7.1,6.7,6.9,7.0,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,8.0,8.6,2.9,2.8,2.7,2.7,2.7,2.8,2.7,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3.0,3.2,3.4,3.5,3.0,3.3,3.0,3.2
32,North Carolina,6.2,6.4,6.8,7.0,7.0,6.9,6.5,6.6,6.7,6.6,6.6,6.9,7.0,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,8.4,7.8,3.1,3.1,3.1,3.2,3.1,3.4,3.4,3.7,3.7,3.8,3.8,3.8,4.0,4.0,4.1,4.2,4.2,4.4,4.6,4.5,4.6,5.0,5.1
33,North Dakota,5.4,5.7,5.8,6.0,6.2,6.3,6.3,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,7.1,7.5,2.5,2.6,2.5,2.6,2.8,2.8,2.9,3.1,2.7,3.1,2.8,2.9,2.9,3.0,2.9,3.1,2.9,2.9,2.9,3.4,4.4,3.4,3.6
34,Ohio,5.3,5.6,5.8,6.0,5.9,5.8,5.7,5.8,5.9,5.8,5.8,6.0,6.1,6.3,6.5,6.6,6.7,7.0,7.2,7.8,7.8,8.0,9.0,2.8,2.9,2.9,3.0,3.1,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4.0,4.0,4.2,3.9,4.3,4.7
35,Oklahoma,6.3,6.4,6.8,6.7,7.4,7.1,7.1,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,NULL,NULL,NULL,NULL,6.8,8.6,10.6,3.9,3.8,4.1,4.4,4.4,4.5,4.5,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,NULL,NULL,NULL,NULL,NULL,6.6,7.7
36,Oregon,6.0,6.3,6.7,6.9,6.9,6.8,6.3,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,8.1,8.9,3.2,3.4,3.4,3.4,3.4,3.4,3.6,3.8,3.8,4.0,3.9,3.9,3.9,4.0,4.2,4.1,4.3,4.6,4.8,4.8,4.6,4.7,5.5
37,Pennsylvania,5.4,5.5,5.7,5.8,5.7,5.8,5.4,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6.0,6.1,6.2,7.1,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.3
38,Rhode Island,6.1,6.3,6.8,6.7,6.4,6.7,6.2,6.1,6.0,5.8,5.9,6.1,6.4,6.6,7.0,7.7,7.8,7.8,8.1,7.6,7.5,7.3,8.1,2.7,2.9,2.9,2.8,3.0,2.8,3.1,3.2,3.2,3.2,3.0,2.7,2.8,3.0,3.0,3.1,3.1,3.2,3.2,2.9,2.7,3.6,3.7
39,South Carolina,6.3,6.6,7.0,6.6,7.5,7.6,7.1,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9.0,9.3,9.9,10.6,10.2,11.9,15.9,2.6,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3.0,2.8,3.0,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,3.9,4.5
40,South Dakota,6.1,6.5,6.7,7.2,7.2,7.1,7.0,7.5,7.5,7.3,7.3,7.7,7.8,8.0,8.4,8.4,8.4,8.8,8.9,9.4,9.1,9.9,11.1,2.6,2.6,2.7,2.8,2.6,2.8,2.9,3.0,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3.0,3.3,3.3,3.5,3.7,3.9,3.7
41,Tennessee,7.5,8.0,8.2,8.6,8.5,8.4,8.4,8.8,9.0,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,15.5,13.9,3.5,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5.0,5.1,5.2,5.9,5.8,6.2,6.5
42,Texas,4.9,6.1,7.1,7.1,7.2,6.9,7.0,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8.0,8.1,8.4,9.1,9.4,9.1,9.9,10.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4.0,4.0,3.8,5.2,5.5
43,Utah,8.1,8.4,8.7,9.0,8.1,7.3,7.5,8.4,8.6,8.5,8.4,9.0,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,10.7,11.2,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4.0,4.1,4.2,4.3,4.0,4.4,5.1
44,Vermont,7.7,7.9,7.9,8.3,8.1,8.7,9.2,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10.0,10.0,10.3,10.9,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4.0,4.2,4.3,4.1,4.4,4.7,4.5
45,Virginia,6.1,6.4,6.8,7.0,7.0,6.7,6.7,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,10.2,11.4,2.9,3.1,3.0,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4.0,4.0,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.4
46,Washington,5.7,6.0,6.2,6.2,6.2,7.0,7.1,6.3,6.1,6.0,6.0,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7.0,6.9,7.2,7.7,9.5,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4.0,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5.0,5.4,5.9
47,West Virginia,6.0,6.1,6.3,6.4,6.6,6.7,6.6,7.0,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,6.1,7.2,3.6,3.3,3.5,3.8,4.0,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5.0,5.1,5.0,5.2,5.2,5.2,5.1,4.9,5.2,5.3
48,Wisconsin,5.0,5.4,5.6,5.6,5.6,5.7,5.2,5.4,5.3,5.3,5.3,5.6,5.7,6.0,6.1,6.2,6.2,6.3,6.5,6.7,6.7,7.0,7.9,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.6
49,Wyoming,7.0,7.1,7.1,7.1,7.3,7.7,7.5,7.6,7.8,7.6,8.0,8.6,9.0,9.3,9.3,9.3,9.3,9.5,10.0,10.0,9.9,10.6,10.7,3.8,3.8,4.0,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6
