,State,Marriages_2019,Marriages_2018,Marriages_2017,Marriages_2016,Marriages_2015,Marriages_2014,Marriages_2013,Marriages_2012,Marriages_2011,Marriages_2010,Marriages_2009,Marriages_2008,Divorces_2007,Marriages_2006,Marriages_2005,Marriages_2004,Divorces_2003,Marriages_2002,Marriages_2001,Marriages_2000,Marriages_1999,Marriages_1995,Marriages_1990,Divorces_2019,Divorces_2018,Divorces_2017,Divorces_2016,Divorces_2015,2014_Divorces,2013_Divorces,2012_Divorces,Divorces_2011,Divorces_2010,Divorces_2009,Divorces_2008,2007_y,Divorces_2006,Divorces_2005,Divorces_2004,2003_y,Divorces_2002,Divorces_2001,Divorces_2000,Divorces_1999,Divorces_1995,Divorces_1990
14,Indiana,6.2,6.6,6.9,6.9,6.9,7.1,6.6,6.7,6.8,6.3,7.9,8.0,7.0,7.0,6.9,7.8,7.1,7.9,7.9,7.9,8.1,8.6,9.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Iowa,5.4,5.7,6.2,6.1,6.3,6.9,7.4,6.8,6.7,6.9,7.0,6.5,6.6,6.7,6.9,6.9,6.9,7.0,7.1,6.9,7.9,7.7,9.0,2.3,2.2,2.0,1.3,1.2,1.5,1.9,2.2,2.4,2.4,2.4,2.6,2.5,2.7,2.7,2.8,2.8,3.1,3.3,3.3,3.3,3.7,3.9
16,Kansas,5.3,5.4,6.0,6.2,5.9,6.1,6.0,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7.0,6.9,7.3,7.5,8.3,7.1,8.5,9.2,2.3,2.3,2.4,2.7,2.8,3.0,3.0,3.4,3.9,3.7,3.6,3.5,3.4,3.1,3.1,3.3,3.3,3.6,3.4,3.6,3.4,4.1,5.0
17,Kentucky,6.3,6.8,7.2,7.4,7.2,6.9,7.3,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9.0,9.0,9.8,10.9,12.2,13.5,3.4,3.5,3.7,3.8,3.7,3.8,4.2,4.1,4.4,4.5,4.6,4.6,4.6,5.0,4.6,4.9,5.0,5.2,5.1,5.1,5.5,5.9,5.8
18,Louisiana,5.1,5.1,5.6,6.1,6.8,6.9,6.4,5.7,6.4,6.9,7.1,6.8,7.5,NULL,8.0,8.0,8.2,8.1,8.4,9.1,9.1,9.3,9.6,2.4,1.7,1.9,2.0,2.8,2.3,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.4,3.3,NULL,NULL,NULL,NULL,NULL
19,Maine,7.1,7.4,7.6,7.6,7.6,7.7,8.3,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,8.7,9.7,3.0,3.2,3.2,3.4,3.4,3.6,4.0,3.9,4.2,4.2,4.1,4.2,4.2,4.2,4.1,4.3,4.4,4.6,4.7,5.0,5.1,4.4,4.3
20,Maryland,5.6,5.9,6.3,6.3,6.2,6.5,6.8,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7.0,7.5,7.5,8.4,9.7,2.7,2.4,2.5,2.7,2.6,2.5,2.5,2.8,2.9,2.8,2.8,2.8,2.9,3.0,3.1,3.2,3.2,3.4,3.0,3.3,3.2,3.0,3.4
21,Massachusetts,5.0,6.3,5.7,5.8,5.5,5.6,5.5,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,7.1,7.9,1.5,2.1,2.2,2.3,2.6,2.7,2.6,2.7,2.7,2.5,2.2,2.0,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5,2.5,2.2,2.8
22,Michigan,5.2,5.7,5.9,5.9,6.0,5.8,5.8,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,7.3,8.2,2.3,2.8,2.8,2.9,3.0,3.0,3.3,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9,3.8,4.1,4.3
23,Minnesota,5.1,5.3,5.6,5.6,5.6,5.9,6.0,5.6,5.6,5.3,5.3,5.4,5.8,6.0,6.0,6.0,6.3,6.5,6.6,6.8,6.8,7.0,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.8,3.0,3.1,3.2,3.2,3.2,3.4,3.5
24,Mississippi,6.0,6.3,6.7,7.0,7.0,6.9,6.7,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,7.9,9.4,2.6,2.7,2.9,3.2,3.4,3.4,3.6,4.0,4.0,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5.0,5.0,5.0,4.8,5.5
25,Missouri,6.0,6.5,6.6,6.9,6.8,6.7,6.4,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7.0,7.1,7.2,7.3,7.5,7.8,8.1,8.3,9.6,2.9,3.0,3.1,3.3,3.2,3.3,3.4,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4.0,4.2,4.5,4.4,5.0,5.1
26,Montana,7.9,7.7,8.0,7.8,8.0,7.9,7.4,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,7.6,8.6,3.0,3.0,3.1,3.1,3.4,3.4,3.4,3.9,4.0,3.9,4.0,4.1,4.0,4.4,4.5,3.8,3.9,4.0,4.2,4.2,2.8,4.8,5.1
27,Nebraska,5.5,6.0,6.3,6.5,6.4,6.4,6.3,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7.0,7.1,7.0,7.5,7.9,7.6,7.5,7.3,8.0,2.7,2.9,3.0,3.1,3.2,3.1,3.3,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7,3.7,3.8,4.0
